000799,酒鬼酒,酒鬼酒股份有限公司,白酒
000800,一汽轿车,一汽轿车股份有限公司,乘用车
000801,四川九洲,四川九洲电器股份有限公司,视听器材
000802,北京文化,北京京西文化旅游股份有限公司,影视
000803,金宇车城,四川金宇汽车城(集团)股份有限公司,纺织
000806,银河生物,北海银河生物产业投资股份有限公司,其他输变电设备
000807,云铝股份,云南铝业股份有限公司,铝
000809,铁岭新城,铁岭新城投资控股股份有限公司,房地产开发
000810,创维数字,创维数字股份有限公司,机顶盒
000811,冰轮环境,冰轮环境技术股份有限公司,制冷空调设备
000812,陕西金叶,陕西金叶科教集团股份有限公司,包装印刷
000813,德展健康,德展大健康股份有限公司,生物医药
000815,美利云,中冶美利云产业投资股份有限公司,造纸
000816,*ST慧业,江苏农华智慧农业科技股份有限公司,内燃机
000818,航锦科技,航锦科技股份有限公司,聚氨酯
000819,岳阳兴长,岳阳兴长石化股份有限公司,石油加工
000820,神雾节能,神雾节能股份有限公司,节能环保
000821,京山轻机,湖北京山轻工机械股份有限公司,印刷包装设备
000822,山东海化,山东海化股份有限公司,纯碱
000823,超声电子,广东汕头超声电子股份有限公司,电子元件
000825,太钢不锈,山西太钢不锈钢股份有限公司,普钢
000826,启迪桑德,启迪桑德环境资源股份有限公司,污水处理
000828,东莞控股,东莞发展控股股份有限公司,高速公路
000829,天音控股,天音通信控股股份有限公司,专业连锁
000830,鲁西化工,鲁西化工集团股份有限公司,氮肥
000831,五矿稀土,五矿稀土股份有限公司,稀土
000833,粤桂股份,广西粤桂广业控股股份有限公司,制糖
000835,长城动漫,长城国际动漫游戏股份有限公司,游戏
000836,富通鑫茂,天津富通鑫茂科技股份有限公司,通信传输设备
000837,秦川机床,秦川机床工具集团股份公司,机床设备
000838,财信发展,财信国兴地产发展股份有限公司,房地产开发
000839,中信国安,中信国安信息产业股份有限公司,电池
000848,承德露露,河北承德露露股份有限公司,植物蛋白饮料
000850,华茂股份,安徽华茂纺织股份有限公司,棉纺
000851,高鸿股份,大唐高鸿数据网络技术股份有限公司,信息服务
000852,石化机械,中石化石油机械股份有限公司,矿山冶金机械
000856,冀东装备,唐山冀东装备工程股份有限公司,其他专用机械
000858,五粮液,宜宾五粮液股份有限公司,白酒
000859,国风塑业,安徽国风塑业股份有限公司,塑料制品
000860,顺鑫农业,北京顺鑫农业股份有限公司,白酒
000861,海印股份,广东海印集团股份有限公司,物业租赁、物业管理
000862,银星能源,宁夏银星能源股份有限公司,新能源发电
000863,三湘印象,三湘印象股份有限公司,房地产开发
000868,安凯客车,安徽安凯汽车股份有限公司,乘用车
000869,张裕A,烟台张裕葡萄酿酒股份有限公司,葡萄酒
000875,吉电股份,吉林电力股份有限公司,火电
000876,新希望,新希望六和股份有限公司,饲料
