HK0293,国泰航空,国泰航空有限公司,航空运输
HK0294,长江制衣,长江制衣有限公司,服装
HK0295,江山控股,江山控股有限公司,新能源
HK0296,英皇娱乐酒店,英皇娱乐酒店有限公司,博彩
HK0297,中化化肥,中化化肥控股有限公司,化肥
HK0298,庄士中国,庄士中国投资有限公司,房地产
HK0299,新体育,新体育集团有限公司,体育
HK0300,昆明机床,沈机集团昆明机床股份有限公司,重型机械
HK0303,VTECH HOLDINGS,伟易达集团有限公司,通信设备
HK0305,五菱汽车,五菱汽车集团控股有限公司,汽车零部件
HK0306,冠忠巴士集团,冠忠巴士集团有限公司,公交运输
HK0307,优派能源发展,优派能源发展集团有限公司,煤炭
HK0308,香港中旅,香港中旅国际投资有限公司,旅游服务
HK0309,新华通讯频媒,新华通讯频媒控股有限公司,其他服务
HK0310,嘉进投资国际,嘉进投资国际有限公司,--
HK0311,联泰控股,联泰控股有限公司,服装
HK0312,岁宝百货,岁宝百货控股(中国)有限公司,百货商城
HK0313,裕田中国,裕田中国发展有限公司,房地产
HK0315,数码通电讯,数码通电讯集团有限公司,通信服务
HK0316,东方海外国际,东方海外(国际)有限公司,港口运输
HK0317,中船防务,中船海洋与防务装备股份有限公司,船舶制造
HK0318,黄河实业,黄河实业有限公司,信贷
HK0319,勤美达国际,勤美达国际控股有限公司,--
HK0320,金宝通,金宝通集团有限公司,消费电子
HK0321,德永佳集团,德永佳集团有限公司,纺织品
HK0322,康师傅控股,康师傅控股有限公司,瓶装水
HK0323,马鞍山钢铁股份,马鞍山钢铁股份有限公司,钢铁
HK0326,中国星集团,中国星集团有限公司,博彩
HK0327,百富环球,百富环球科技有限公司,电商及互联网
HK0328,ALCO HOLDINGS,爱高集团有限公司,消费电子
HK0329,东建国际,东建国际控股有限公司,葡萄酒
HK0330,思捷环球,思捷环球控股有限公司,服装
HK0331,丰盛服务集团,丰盛机电控股有限公司,房屋建筑
HK0332,元亨燃气,元亨燃气控股有限公司,油气开采
HK0333,黛丽斯国际,黛丽斯国际有限公司,内衣
HK0334,华显光电,华显光电技术控股有限公司,计算机设备
HK0335,美建集团,美建集团有限公司,证券
HK0336,华宝国际,华宝国际控股有限公司,食品添加剂
HK0337,绿地香港,绿地香港控股有限公司,房地产
HK0338,上海石油化工股份,中国石化上海石油化工股份有限公司,化工用品
HK0339,核心经济投资,安利时投资控股有限公司,--
HK0340,潼关黄金,中国矿业资源集团有限公司,茶
HK0341,大家乐集团,大家乐集团有限公司,餐饮
HK0342,新海能源,新海能源集团有限公司,油气开采
HK0343,文化传信,文化传信集团有限公司,出版
