index_col,stock_code,shortname,fullname,address,income,profit,number,comedate,book,report,industry,bussiness
1220,HK1476,恒投证券,恒泰证券股份有限公司,中国北京市,--,--,2053,2015-10-15,--,,证券,证券承销及保荐、证券及金融产品代销、证券及期货经纪、资产管理、投资顾问、融资融券、基金设立及管理。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1221,HK1478,丘钛科技,丘钛科技(集团)有限公司,开曼群岛,--,--,2682,2014-12-02,--,,消费电子,设计、研发、制造和销售摄像头模组及指纹识别模组，专注于中国品牌智能手机及平板电脑制造商中高端摄像头模组和指纹识别模组市场。
1222,HK1480,恩达集团控股,恩达集团控股有限公司,开曼群岛,--,--,1055,2014-12-08,--,,电子元器件,制造及销售印刷电路板。
1223,HK1483,誉宴集团,誉宴集团控股有限公司,开曼群岛,--,--,475,2013-12-10,--,,餐饮,在香港从事中式酒楼连锁业务、提供婚礼服务、分销货品包括新鲜蔬菜、水果、海鲜及冻肉及特许授权一家中式酒楼使用誉宴品牌。
1224,HK1486,思城控股,思城控股有限公司,开曼群岛,--,--,720,2013-12-20,--,,房屋建筑,提供综合建筑设计服务业务。
1225,HK1488,百福控股,百福控股有限公司,开曼群岛,--,--,3900,2011-06-27,--,,服饰配件,制造及销售手袋；及餐饮投资管理业务。
1226,HK1492,中地乳业,中国中地乳业控股有限公司,开曼群岛,--,--,1215,2015-12-02,--,,乳制品,于中国从事奶牛牧场经营以生产原料奶以及进口及销售牛。
1227,HK1495,集一家居,集一家居国际控股有限公司,开曼群岛,--,--,232,2015-11-06,--,,建筑材料,在中国从事销售及分销建筑及家居装修材料及家俱以及提供室内设计及工程服务。
1228,HK1496,亚积邦租赁,亚积邦租赁控股有限公司,开曼群岛,--,--,162,2016-04-08,--,,建筑工程,为客户提供设备租用相关解决方案及增值服务。
1229,HK1498,培力控股,培力控股有限公司,开曼群岛,--,--,679,2015-07-08,--,,中药,研究、开发、制造及销售浓缩中药配方颗粒产品及中药保健品，并提供中医医疗服务。
1230,HK1499,前进控股集团,前进控股集团有限公司,开曼群岛,--,--,92,2015-09-02,--,,房屋建筑,提供地基工程及配套服务；及在香港政府管理的公众填料接收设施处理建筑废物。
1231,HK1500,现恒建筑,现恒建筑控股有限公司,开曼群岛,--,--,43,2015-04-16,--,,房屋建筑,拆卸工程、地盘平整工程、现场土地勘测工程及一般建筑工程。
1232,HK1508,中国再保险,中国再保险(集团)股份有限公司,中国北京市,--,--,51009,2015-10-26,--,,保险,经营财产再保险、人身再保险、财产险直保及资产管理。
1233,HK1509,和美医疗,和美医疗控股有限公司,开曼群岛,--,--,3426,2015-07-07,--,,医院,在中国从事专科医院服务，尤其是妇产科及供应链业务。
1234,HK1513,丽珠医药,丽珠医药集团股份有限公司,中国广东省,--,--,6963,2014-01-16,--,,药品,研究、开发、生产和销售医药产品。
1235,HK1515,华润医疗,华润凤凰医疗控股有限公司,开曼群岛,--,--,1003,2013-11-29,--,,医院,在中国内地从事提供综合医疗服务、提供医院管理及咨询服务、集团采购组织业务以及其他医院衍生服务。
1236,HK1518,新世纪医疗,新世纪医疗控股有限公司,开曼群岛,--,--,771,2017-01-18,--,,医院,向妇女儿童提供优质医疗服务。
1237,HK1520,华信金融投资,香港华信金融投资有限公司,开曼群岛,--,--,420,2013-12-03,--,,服装,成衣的制造及贸易及提供放债服务。
1238,HK1522,京投交通科技,京投轨道交通科技控股有限公司,开曼群岛,--,--,301,2012-05-16,--,,信息化服务,设计、实施和销售及维护用于公共交通及其他公司的网路及控制系统的应用解决方案，以及向通讯运营公司租赁民用通信传输系统。
1239,HK1523,珩湾科技,珩湾科技有限公司,开曼群岛,--,--,127,2016-07-13,--,,计算机设备,SD-WAN路由器供应商，专注于设计、开发、推广及销售产品及服务。
1240,HK1526,瑞慈医疗,瑞慈医疗服务控股有限公司,开曼群岛,--,--,4372,2016-10-06,--,,医院,在中国从事营运综合医院、专科医院、体检中心及诊所。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1241,HK1527,天洁环境,浙江天洁环境科技股份有限公司,中国浙江省,--,--,634,2015-10-12,--,,环保工程,环保污染防治设备及电子产品的设计、开发、制造、安装及销售。
1242,HK1528,红星美凯龙,红星美凯龙家居集团股份有限公司,中国上海市,--,--,20667,2015-06-26,--,,地产投资,家居装饰及家具商场的经营、管理和专业咨询服务。
1243,HK1530,三生制药,三生制药,开曼群岛,--,--,3690,2015-06-11,--,,生物医药,在中国开发、生产及营销医药产品。
1244,HK1532,中国派对文化,中国派对文化控股有限公司,开曼群岛,--,--,1721,2015-10-16,--,,内衣,设计、开发、生产、销售及营销角色扮演产品（包括角色扮演服饰及角色扮演假发）及性感内衣。
1245,HK1533,庄园牧场,兰州庄园牧场股份有限公司,中国榆中县,--,--,712,2015-10-15,--,,乳制品,乳制品和含乳饮料的生产、加工、销售及奶牛养殖业务
1246,HK1536,煜荣集团,煜荣集团控股有限公司,开曼群岛,--,--,113,2017-01-11,--,,电子元器件,设计、制造及销售用于建筑地基、工地打桩、采矿及采石、开凿水井、公用事业管线、微型隧道及潜孔凿岩工具。
1247,HK1538,中奥到家,中奥到家集团有限公司,开曼群岛,--,--,6900,2015-11-25,--,,物业管理,提供物业管理服务及物业管理咨询服务。
1248,HK1539,汇能集团,汇能集团控股国际有限公司,开曼群岛,--,--,32,2015-03-24,--,,家具家居,就照明解决方案提供节能服务，范围从就照明解决方案提供意见、产品定制、现场视察和量度、产品采购、项目部署至售后服务。
1249,HK1540,澳狮环球,--,--,--,--,--,2018-10-08,--,,--,--
1250,HK1543,中盈盛达融资担保,广东中盈盛达融资担保投资股份有限公司,中国广东省,--,--,268,2015-12-23,--,,信贷,向中小微企业提供融资及非融资担保、委托贷款、放贷服务及融资咨询服务。
1251,HK1546,德莱建业,德莱建业集团有限公司,--,--,--,206,2015-10-09,--,,--,提供楼宇建造服务；及维修、保养、改建及加建工程服务。
1252,HK1547,IBI GROUP HLDGS,IBI Group Holdings Limited,开曼群岛,--,--,100,2016-10-14,--,,建筑装饰,提供物业翻新服务，包括装修项目；及改建及加建项目。
1253,HK1548,金斯瑞生物科技,金斯瑞生物科技股份有限公司,开曼群岛,--,--,1600,2015-12-30,--,,生物医药,制造及销售生命科学研究产品及服务。产品及服务主要包括生命科学研究服务、临床前药物研发服务、生命科学研究目录产品及工业合成生物产品。
1254,HK1549,永丰集团控股,永丰集团控股有限公司,开曼群岛,--,--,223,2016-07-06,--,,港口运输,于香港及中国提供海上货运及货运代理服务。
1255,HK1551,广州农商银行,广州农村商业银行股份有限公司,中国广东省,--,--,6886,2017-06-20,--,,银行,中国农村商业银行，主要业务包括公司银行业务、零售银行业务及金融市场业务。
1256,HK1552,BHCC HOLDING,BHCC Holding Limited,开曼群岛,--,--,232,2017-09-12,--,,房屋建筑,在新加坡提供楼宇及建筑工程，亦专营巩固混凝土工程。
1257,HK1555,MI能源,MI能源控股有限公司,开曼群岛,--,--,1373,2010-12-14,--,,油气开采,在中国、哈萨克斯坦和美国从事勘探、开发、生产及销售石油和其他石油产品。
1258,HK1556,建业建荣,建业建荣控股有限公司,百慕达,--,--,557,2015-11-11,--,,房屋建筑,从事地基工程，包括打桩建造及其他配套服务；及钻探及场地勘探。
1259,HK1557,剑虹集团控股,剑虹集团控股有限公司,开曼群岛,--,--,117,2016-03-18,--,,建筑工程,在香港提供地基服务及租赁。
1260,HK1558,东阳光药,宜昌东阳光长江药业股份有限公司,中国湖北省,--,--,1779,2015-12-29,--,,药品,专注于抗病毒、内分泌及代谢类疾病、心血管疾病等治疗领域产品开发、生产及销售的中国制药企业。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
1261,HK1559,均安控股,均安控股有限公司,开曼群岛,--,--,488,2015-03-27,--,,建筑工程,于香港提供建造及维修工程予有关建筑、水务、地盘平整、道路工程及渠务以及斜坡加固之土木工程合约。
